sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH	fastq1	fastq2	sample_fqrunid	donor_id	Proc_as_PDX	bam_path_nodv1	unfilt_psample_bam_path	xfilt_bam_psample_path_nodv1	Final_BAM
CDS2_Tumour_Treated_R3_RNA	CDS2_Tumour_Treated_R3_RNA	CDS2_Tumour_Treated_R3_RNA	ERS18825479	ERP159012	Homo sapiens	f343a29bf0aa28e2d1861b5806ec600b	48902	1	1	11	65805273	801397072	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#11.cram	/seq/illumina/runs/48/48902/lane1/plex11/48902_1#11.cram	/seq/illumina/runs/48/48902/lane1/plex11/48902_1#11.substitution_metrics.txt	0.96	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R3_RNA_48902_1#11_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R3_RNA_48902_1#11_R2.fastq.gz	CDS2_Tumour_Treated_R3_RNA_48902_1#11	CDS2_Tumour_Treated	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Treated_R3_RNA/CDS2_Tumour_Treated_R3_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Treated_R3_RNA/CDS2_Tumour_Treated_R3_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R3_RNA/Filtered_bams/CDS2_Tumour_Treated_R3_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R3_RNA/Filtered_bams/CDS2_Tumour_Treated_R3_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Treated_R4_RNA	CDS2_Tumour_Treated_R4_RNA	CDS2_Tumour_Treated_R4_RNA	ERS18825480	ERP159012	Homo sapiens	0de7bfc252e261386131b5fef4f2d1b5	48902	1	1	12	65805285	431394598	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#12.cram	/seq/illumina/runs/48/48902/lane1/plex12/48902_1#12.cram	/seq/illumina/runs/48/48902/lane1/plex12/48902_1#12.substitution_metrics.txt	1.29	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R4_RNA_48902_1#12_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R4_RNA_48902_1#12_R2.fastq.gz	CDS2_Tumour_Treated_R4_RNA_48902_1#12	CDS2_Tumour_Treated	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Treated_R4_RNA/CDS2_Tumour_Treated_R4_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Treated_R4_RNA/CDS2_Tumour_Treated_R4_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R4_RNA/Filtered_bams/CDS2_Tumour_Treated_R4_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R4_RNA/Filtered_bams/CDS2_Tumour_Treated_R4_RNA.sample.mXfilt_Filtered.bam
SW837_C9_CDS2_gRNA_R1_RNA	SW837_C9_CDS2_gRNA_R1_RNA	SW837_C9_CDS2_gRNA_R1_RNA	ERS18871486	ERP159012	Homo sapiens	d1c825b28df11e6971a05676cd34c0bf	48839	4	1	1	65901217	703813526	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#1.cram	/seq/illumina/runs/48/48839/lane4/plex1/48839_4#1.cram	/seq/illumina/runs/48/48839/lane4/plex1/48839_4#1.substitution_metrics.txt	0.21	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_CDS2_gRNA_R1_RNA_48839_4#1_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_CDS2_gRNA_R1_RNA_48839_4#1_R2.fastq.gz	SW837_C9_CDS2_gRNA_R1_RNA_48839_4#1	SW837_C9_CDS2_gRNA	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_CDS2_gRNA_R1_RNA/SW837_C9_CDS2_gRNA_R1_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_CDS2_gRNA_R1_RNA/SW837_C9_CDS2_gRNA_R1_RNA.sample.dupmarked.bam
SW837_C9_CDS2_gRNA_R2_RNA	SW837_C9_CDS2_gRNA_R2_RNA	SW837_C9_CDS2_gRNA_R2_RNA	ERS18871487	ERP159012	Homo sapiens	0bff6e1bf2e20ef24dd4876a1362996b	48839	4	1	2	65901229	756725238	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#2.cram	/seq/illumina/runs/48/48839/lane4/plex2/48839_4#2.cram	/seq/illumina/runs/48/48839/lane4/plex2/48839_4#2.substitution_metrics.txt	0.21	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_CDS2_gRNA_R2_RNA_48839_4#2_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_CDS2_gRNA_R2_RNA_48839_4#2_R2.fastq.gz	SW837_C9_CDS2_gRNA_R2_RNA_48839_4#2	SW837_C9_CDS2_gRNA	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_CDS2_gRNA_R2_RNA/SW837_C9_CDS2_gRNA_R2_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_CDS2_gRNA_R2_RNA/SW837_C9_CDS2_gRNA_R2_RNA.sample.dupmarked.bam
SW837_C9_CDS2_gRNA_R3_RNA	SW837_C9_CDS2_gRNA_R3_RNA	SW837_C9_CDS2_gRNA_R3_RNA	ERS18871490	ERP159012	Homo sapiens	008e813cdc7daa2e444fba8c6b6dca21	48839	4	1	3	65901241	669305662	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#3.cram	/seq/illumina/runs/48/48839/lane4/plex3/48839_4#3.cram	/seq/illumina/runs/48/48839/lane4/plex3/48839_4#3.substitution_metrics.txt	0.21	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_CDS2_gRNA_R3_RNA_48839_4#3_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_CDS2_gRNA_R3_RNA_48839_4#3_R2.fastq.gz	SW837_C9_CDS2_gRNA_R3_RNA_48839_4#3	SW837_C9_CDS2_gRNA	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_CDS2_gRNA_R3_RNA/SW837_C9_CDS2_gRNA_R3_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_CDS2_gRNA_R3_RNA/SW837_C9_CDS2_gRNA_R3_RNA.sample.dupmarked.bam
SW837_C9_safe_gRNA_R1_RNA	SW837_C9_safe_gRNA_R1_RNA	SW837_C9_safe_gRNA_R1_RNA	ERS18871489	ERP159012	Homo sapiens	c0a6b9da14aedb6e8b3581bb77318b37	48839	4	1	4	65901253	708762716	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#4.cram	/seq/illumina/runs/48/48839/lane4/plex4/48839_4#4.cram	/seq/illumina/runs/48/48839/lane4/plex4/48839_4#4.substitution_metrics.txt	0.21	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_safe_gRNA_R1_RNA_48839_4#4_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_safe_gRNA_R1_RNA_48839_4#4_R2.fastq.gz	SW837_C9_safe_gRNA_R1_RNA_48839_4#4	SW837_C9_safe_gRNA	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_safe_gRNA_R1_RNA/SW837_C9_safe_gRNA_R1_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_safe_gRNA_R1_RNA/SW837_C9_safe_gRNA_R1_RNA.sample.dupmarked.bam
SW837_C9_safe_gRNA_R2_RNA	SW837_C9_safe_gRNA_R2_RNA	SW837_C9_safe_gRNA_R2_RNA	ERS18871492	ERP159012	Homo sapiens	e853f1fa89725f8488fe6835bbbf2f9d	48839	4	1	5	65901265	791670598	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#5.cram	/seq/illumina/runs/48/48839/lane4/plex5/48839_4#5.cram	/seq/illumina/runs/48/48839/lane4/plex5/48839_4#5.substitution_metrics.txt	0.22	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_safe_gRNA_R2_RNA_48839_4#5_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_safe_gRNA_R2_RNA_48839_4#5_R2.fastq.gz	SW837_C9_safe_gRNA_R2_RNA_48839_4#5	SW837_C9_safe_gRNA	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_safe_gRNA_R2_RNA/SW837_C9_safe_gRNA_R2_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_safe_gRNA_R2_RNA/SW837_C9_safe_gRNA_R2_RNA.sample.dupmarked.bam
SW837_C9_safe_gRNA_R3_RNA	SW837_C9_safe_gRNA_R3_RNA	SW837_C9_safe_gRNA_R3_RNA	ERS18871493	ERP159012	Homo sapiens	074f44ba6422712541dedcba8aa4d031	48839	4	1	6	65901277	742517876	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#6.cram	/seq/illumina/runs/48/48839/lane4/plex6/48839_4#6.cram	/seq/illumina/runs/48/48839/lane4/plex6/48839_4#6.substitution_metrics.txt	0.21	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_safe_gRNA_R3_RNA_48839_4#6_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_safe_gRNA_R3_RNA_48839_4#6_R2.fastq.gz	SW837_C9_safe_gRNA_R3_RNA_48839_4#6	SW837_C9_safe_gRNA	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_safe_gRNA_R3_RNA/SW837_C9_safe_gRNA_R3_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_safe_gRNA_R3_RNA/SW837_C9_safe_gRNA_R3_RNA.sample.dupmarked.bam
SW837_C9_uninfected_R1_RNA	SW837_C9_uninfected_R1_RNA	SW837_C9_uninfected_R1_RNA	ERS18871494	ERP159012	Homo sapiens	45cdf8a4ee93c0119403cbbf11e5f08f	48839	4	1	7	65901289	814525832	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#7.cram	/seq/illumina/runs/48/48839/lane4/plex7/48839_4#7.cram	/seq/illumina/runs/48/48839/lane4/plex7/48839_4#7.substitution_metrics.txt	0.21	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_uninfected_R1_RNA_48839_4#7_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_uninfected_R1_RNA_48839_4#7_R2.fastq.gz	SW837_C9_uninfected_R1_RNA_48839_4#7	SW837_C9_uninfected	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_uninfected_R1_RNA/SW837_C9_uninfected_R1_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_uninfected_R1_RNA/SW837_C9_uninfected_R1_RNA.sample.dupmarked.bam
SW837_C9_uninfected_R2_RNA	SW837_C9_uninfected_R2_RNA	SW837_C9_uninfected_R2_RNA	ERS18871495	ERP159012	Homo sapiens	38feb3df49909d2b8fe37300e4afaeb4	48839	4	1	8	65901301	682072762	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#8.cram	/seq/illumina/runs/48/48839/lane4/plex8/48839_4#8.cram	/seq/illumina/runs/48/48839/lane4/plex8/48839_4#8.substitution_metrics.txt	0.22	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_uninfected_R2_RNA_48839_4#8_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_uninfected_R2_RNA_48839_4#8_R2.fastq.gz	SW837_C9_uninfected_R2_RNA_48839_4#8	SW837_C9_uninfected	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_uninfected_R2_RNA/SW837_C9_uninfected_R2_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_uninfected_R2_RNA/SW837_C9_uninfected_R2_RNA.sample.dupmarked.bam
SW837_C9_uninfected_R3_RNA	SW837_C9_uninfected_R3_RNA	SW837_C9_uninfected_R3_RNA	ERS18871496	ERP159012	Homo sapiens	2fb52c56e6198ccda739d0267c5dd634	48839	4	1	9	65901218	700897552	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	RNA PolyA	48839_4#9.cram	/seq/illumina/runs/48/48839/lane4/plex9/48839_4#9.cram	/seq/illumina/runs/48/48839/lane4/plex9/48839_4#9.substitution_metrics.txt	0.22	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_uninfected_R3_RNA_48839_4#9_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/SW837_C9_uninfected_R3_RNA_48839_4#9_R2.fastq.gz	SW837_C9_uninfected_R3_RNA_48839_4#9	SW837_C9_uninfected	N	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_uninfected_R3_RNA/SW837_C9_uninfected_R3_RNA.sample.dupmarked.bam	NA	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/SW837_C9_uninfected_R3_RNA/SW837_C9_uninfected_R3_RNA.sample.dupmarked.bam
