sample	sample_supplier_name	sample_donor_id	sample_accession_number	study_accession_number	sample_common_name	md5	id_run	lane	is_paired_read	tag_index	library_id	total_reads	study_id	study_title	reference	library_type	cram	cram_irods_location	ca_metrics_file	art_oxH	fastq1	fastq2	sample_fqrunid	donor_id	Proc_as_PDX	bam_path_nodv1	unfilt_psample_bam_path	xfilt_bam_psample_path_nodv1	Final_BAM
CDS2_Tumour_Cas9_WT_R1_RNA	CDS2_Tumour_Cas9_WT_R1_RNA	CDS2_Tumour_Cas9_WT_R1_RNA	ERS18825469	ERP159012	Homo sapiens	462ccc48d1b1f864bdcaf3ad72b214e7	48902	1	1	1	65805248	539091976	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#1.cram	/seq/illumina/runs/48/48902/lane1/plex1/48902_1#1.cram	/seq/illumina/runs/48/48902/lane1/plex1/48902_1#1.substitution_metrics.txt	0.6	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R1_RNA_48902_1#1_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R1_RNA_48902_1#1_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R1_RNA_48902_1#1	CDS2_Tumour_Cas9_WT	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Cas9_WT_R1_RNA/CDS2_Tumour_Cas9_WT_R1_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Cas9_WT_R1_RNA/CDS2_Tumour_Cas9_WT_R1_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R1_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R1_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R1_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R1_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Cas9_WT_R2_RNA	CDS2_Tumour_Cas9_WT_R2_RNA	CDS2_Tumour_Cas9_WT_R2_RNA	ERS18825470	ERP159012	Homo sapiens	9dac9e78be8f5a11a02a7f72b038260f	48902	1	1	2	65805260	561585210	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#2.cram	/seq/illumina/runs/48/48902/lane1/plex2/48902_1#2.cram	/seq/illumina/runs/48/48902/lane1/plex2/48902_1#2.substitution_metrics.txt	0.97	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R2_RNA_48902_1#2_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R2_RNA_48902_1#2_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R2_RNA_48902_1#2	CDS2_Tumour_Cas9_WT	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Cas9_WT_R2_RNA/CDS2_Tumour_Cas9_WT_R2_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Cas9_WT_R2_RNA/CDS2_Tumour_Cas9_WT_R2_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R2_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R2_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R2_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R2_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Cas9_WT_R3_RNA	CDS2_Tumour_Cas9_WT_R3_RNA	CDS2_Tumour_Cas9_WT_R3_RNA	ERS18825474	ERP159012	Homo sapiens	d49e9eddda5d06b18677b674c954161b	48902	1	1	5	65805296	653148084	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#5.cram	/seq/illumina/runs/48/48902/lane1/plex5/48902_1#5.cram	/seq/illumina/runs/48/48902/lane1/plex5/48902_1#5.substitution_metrics.txt	0.61	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R3_RNA_48902_1#5_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R3_RNA_48902_1#5_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R3_RNA_48902_1#5	CDS2_Tumour_Cas9_WT	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Cas9_WT_R3_RNA/CDS2_Tumour_Cas9_WT_R3_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Cas9_WT_R3_RNA/CDS2_Tumour_Cas9_WT_R3_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R3_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R3_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R3_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R3_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Cas9_WT_R4_RNA	CDS2_Tumour_Cas9_WT_R4_RNA	CDS2_Tumour_Cas9_WT_R4_RNA	ERS18825473	ERP159012	Homo sapiens	4a2b1e154ad6ea324e821f16b2191ab3	48902	1	1	6	65805308	49534092	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#6.cram	/seq/illumina/runs/48/48902/lane1/plex6/48902_1#6.cram	/seq/illumina/runs/48/48902/lane1/plex6/48902_1#6.substitution_metrics.txt	0.71	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R4_RNA_48902_1#6_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Cas9_WT_R4_RNA_48902_1#6_R2.fastq.gz	CDS2_Tumour_Cas9_WT_R4_RNA_48902_1#6	CDS2_Tumour_Cas9_WT	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Cas9_WT_R4_RNA/CDS2_Tumour_Cas9_WT_R4_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Cas9_WT_R4_RNA/CDS2_Tumour_Cas9_WT_R4_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R4_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R4_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Cas9_WT_R4_RNA/Filtered_bams/CDS2_Tumour_Cas9_WT_R4_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Non-treated_R1_RNA	CDS2_Tumour_Non-treated_R1_RNA	CDS2_Tumour_Non-treated_R1_RNA	ERS18825471	ERP159012	Homo sapiens	95450ba060c7e6d1a0547cff08646ec5	48902	1	1	3	65805272	648146878	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#3.cram	/seq/illumina/runs/48/48902/lane1/plex3/48902_1#3.cram	/seq/illumina/runs/48/48902/lane1/plex3/48902_1#3.substitution_metrics.txt	0.77	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Non-treated_R1_RNA_48902_1#3_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Non-treated_R1_RNA_48902_1#3_R2.fastq.gz	CDS2_Tumour_Non-treated_R1_RNA_48902_1#3	CDS2_Tumour_Non-treated	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Non-treated_R1_RNA/CDS2_Tumour_Non-treated_R1_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Non-treated_R1_RNA/CDS2_Tumour_Non-treated_R1_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Non-treated_R1_RNA/Filtered_bams/CDS2_Tumour_Non-treated_R1_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Non-treated_R1_RNA/Filtered_bams/CDS2_Tumour_Non-treated_R1_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Non-treated_R2_RNA	CDS2_Tumour_Non-treated_R2_RNA	CDS2_Tumour_Non-treated_R2_RNA	ERS18825475	ERP159012	Homo sapiens	f63053d4aee042a16943a77fe028b46c	48902	1	1	7	65805320	633643886	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#7.cram	/seq/illumina/runs/48/48902/lane1/plex7/48902_1#7.cram	/seq/illumina/runs/48/48902/lane1/plex7/48902_1#7.substitution_metrics.txt	0.77	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Non-treated_R2_RNA_48902_1#7_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Non-treated_R2_RNA_48902_1#7_R2.fastq.gz	CDS2_Tumour_Non-treated_R2_RNA_48902_1#7	CDS2_Tumour_Non-treated	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Non-treated_R2_RNA/CDS2_Tumour_Non-treated_R2_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Non-treated_R2_RNA/CDS2_Tumour_Non-treated_R2_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Non-treated_R2_RNA/Filtered_bams/CDS2_Tumour_Non-treated_R2_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Non-treated_R2_RNA/Filtered_bams/CDS2_Tumour_Non-treated_R2_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_R1_RNA	CDS2_Tumour_R1_RNA	CDS2_Tumour_R1_RNA	ERS18825472	ERP159012	Homo sapiens	bf732f4cb27181fa0b794f94953733fd	48902	1	1	4	65805284	878283596	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#4.cram	/seq/illumina/runs/48/48902/lane1/plex4/48902_1#4.cram	/seq/illumina/runs/48/48902/lane1/plex4/48902_1#4.substitution_metrics.txt	0.8	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_R1_RNA_48902_1#4_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_R1_RNA_48902_1#4_R2.fastq.gz	CDS2_Tumour_R1_RNA_48902_1#4	CDS2_Tumour	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_R1_RNA/CDS2_Tumour_R1_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_R1_RNA/CDS2_Tumour_R1_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_R1_RNA/Filtered_bams/CDS2_Tumour_R1_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_R1_RNA/Filtered_bams/CDS2_Tumour_R1_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_R2_RNA	CDS2_Tumour_R2_RNA	CDS2_Tumour_R2_RNA	ERS18825476	ERP159012	Homo sapiens	fe066260a06ebdad9352acf30dab1173	48902	1	1	8	65805332	262510470	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#8.cram	/seq/illumina/runs/48/48902/lane1/plex8/48902_1#8.cram	/seq/illumina/runs/48/48902/lane1/plex8/48902_1#8.substitution_metrics.txt	0.86	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_R2_RNA_48902_1#8_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_R2_RNA_48902_1#8_R2.fastq.gz	CDS2_Tumour_R2_RNA_48902_1#8	CDS2_Tumour	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_R2_RNA/CDS2_Tumour_R2_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_R2_RNA/CDS2_Tumour_R2_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_R2_RNA/Filtered_bams/CDS2_Tumour_R2_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_R2_RNA/Filtered_bams/CDS2_Tumour_R2_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Treated_R1_RNA	CDS2_Tumour_Treated_R1_RNA	CDS2_Tumour_Treated_R1_RNA	ERS18825477	ERP159012	Homo sapiens	ba6a3681bdea1170baa0a04018fb8b28	48902	1	1	9	65805249	70121770	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#9.cram	/seq/illumina/runs/48/48902/lane1/plex9/48902_1#9.cram	/seq/illumina/runs/48/48902/lane1/plex9/48902_1#9.substitution_metrics.txt	1.6	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R1_RNA_48902_1#9_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R1_RNA_48902_1#9_R2.fastq.gz	CDS2_Tumour_Treated_R1_RNA_48902_1#9	CDS2_Tumour_Treated	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Treated_R1_RNA/CDS2_Tumour_Treated_R1_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Treated_R1_RNA/CDS2_Tumour_Treated_R1_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R1_RNA/Filtered_bams/CDS2_Tumour_Treated_R1_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R1_RNA/Filtered_bams/CDS2_Tumour_Treated_R1_RNA.sample.mXfilt_Filtered.bam
CDS2_Tumour_Treated_R2_RNA	CDS2_Tumour_Treated_R2_RNA	CDS2_Tumour_Treated_R2_RNA	ERS18825478	ERP159012	Homo sapiens	1e170839a707f6544928ffdeaaec3e04	48902	1	1	10	65805261	865495880	7687	Genetic Effects of CDS2 loss in Uveal Melanoma_RNAseq	/lustre/scratch125/core/sciops_repository/references/Homo_sapiens/GRCh38_full_analysis_set_plus_decoy_hla/all/fasta/Homo_sapiens.GRCh38_full_analysis_set_plus_decoy_hla.fa	Agilent Pulldown	48902_1#10.cram	/seq/illumina/runs/48/48902/lane1/plex10/48902_1#10.cram	/seq/illumina/runs/48/48902/lane1/plex10/48902_1#10.substitution_metrics.txt	1.24	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R2_RNA_48902_1#10_R1.fastq.gz	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/fastqs/CDS2_Tumour_Treated_R2_RNA_48902_1#10_R2.fastq.gz	CDS2_Tumour_Treated_R2_RNA_48902_1#10	CDS2_Tumour_Treated	Y	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/NOD_mapping/NOD_PDXV1/CDS2_Tumour_Treated_R2_RNA/CDS2_Tumour_Treated_R2_RNA_NOD_PDXV1.Aligned.sortedByCoord.out.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_UNFILT/CDS2_Tumour_Treated_R2_RNA/CDS2_Tumour_Treated_R2_RNA.sample.dupmarked.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R2_RNA/Filtered_bams/CDS2_Tumour_Treated_R2_RNA.sample.mXfilt_Filtered.bam	/lustre/scratch124/casm/team113/projects/7688_7687_Gen_Effects_CDS2_loss_Uveal_melanoma/7687_3364_Gen_Effects_CDS2_loss_Uveal_melanoma_RNAseq/bams/RNASEQ_xfilt/CDS2_Tumour_Treated_R2_RNA/Filtered_bams/CDS2_Tumour_Treated_R2_RNA.sample.mXfilt_Filtered.bam
